,edad,edo_civil,escolaridad,hora,mes,mpio,parentesco,cuantos
197,26,SOLTERO,SECUNDARIA,M,1,PESQUERÍA,ESPOSO,1
198,29,SOLTERO,PRIMARIA,T,1,SALINAS VICTORIA,PADRE,1
199,24,CASADO,SECUNDARIA,T,1,SAN PEDRO GARZA GARCÍA,MADRE,1
200,31,CASADO,SECUNDARIA,N,1,SANTA CATARINA,ESPOSO,1
201,33,CASADO,LICENCIATURA,N,1,SANTA CATARINA,ESPOSO,1
202,50,CASADO,PRIMARIA,N,1,SANTIAGO,NINGUNO,1
203,8,SOLTERO,PRIMARIA,N,1,ESCOBEDO,NINGUNO,1
204,37,CASADO,LICENCIATURA,N,1,ESCOBEDO,ESPOSO,1
205,23,SOLTERO,PREPARATORIA,T,1,GALEANA,NINGUNO,1
206,48,CASADO,PRIMARIA,T,1,GALEANA,ESPOSO,1
207,31,SOLTERO,PRIMARIA,T,1,ALLENDE,HIJO,1
208,35,CASADO,TÉCNICO,T,1,ALLENDE,ESPOSO,1
209,32,CASADO,SECUNDARIA,N,1,ESCOBEDO,CONCUBINO,1
210,22,CASADO,SECUNDARIA,N,1,GARCÍA,CONCUBINO,1
211,31,CASADO,SECUNDARIA,T,1,GARCÍA,ESPOSO,1
212,26,CASADO,PREPARATORIA,T,1,GARCÍA,CONCUBINO,1
213,48,SOLTERO,PREPARATORIA,T,1,GUADALUPE,NINGUNO,1
214,61,CASADO,PRIMARIA,T,1,GUADALUPE,NINGUNO,1
215,58,CASADO,TÉCNICO,T,1,GUADALUPE,NINGUNO,1
216,24,CASADO,TÉCNICO,T,1,GUADALUPE,NINGUNO,1
217,54,SOLTERO,SECUNDARIA,T,1,JUÁREZ,HIJO,1
218,28,CASADO,SECUNDARIA,M,1,MONTEMORELOS,ESPOSO,1
219,30,SOLTERO,SECUNDARIA,N,1,MONTEMORELOS,NINGUNO,1
220,30,CASADO,SECUNDARIA,N,1,MONTEMORELOS,CONCUBINO,1
221,27,CASADO,LICENCIATURA,N,1,MONTEMORELOS,ESPOSO,1
222,42,CASADO,PRIMARIA,N,1,MONTERREY,CONCUBINO,1
223,51,CASADO,LICENCIATURA,M,1,MONTERREY,ESPOSO,1
224,22,CASADO,PREPARATORIA,T,1,MONTERREY,ESPOSO,1
225,28,CASADO,PREPARATORIA,N,1,MONTERREY,NINGUNO,1
226,27,SOLTERO,SECUNDARIA,T,1,MONTERREY,NINGUNO,1
227,25,CASADO,PREPARATORIA,N,1,MONTERREY,CONCUBINO,1
228,33,CASADO,PREPARATORIA,T,1,SALINAS VICTORIA,ESPOSO,1
229,24,CASADO,SECUNDARIA,M,1,SALINAS VICTORIA,CONCUBINO,1
230,46,CASADO,SECUNDARIA,T,1,SAN NICOLÁS DE LOS GARZA,PADRE,1
231,25,CASADO,PREPARATORIA,N,1,SAN NICOLÁS DE LOS GARZA,ESPOSO,1
232,20,CASADO,SECUNDARIA,T,1,SANTA CATARINA,UL,1
233,2,SOLTERO,NINGUNO,T,1,MONTEMORELOS,NINGUNO,1
234,32,SOLTERO,PRIMARIA,T,1,MONTEMORELOS,NINGUNO,1
235,12,SOLTERO,PRIMARIA,T,1,MONTERREY,MADRE,1
236,13,SOLTERO,PRIMARIA,T,1,MONTERREY,PADRASTRO,1
237,20,SOLTERO,SECUNDARIA,T,1,SAN NICOLÁS DE LOS GARZA,HIJO,1
238,43,SOLTERO,SECUNDARIA,T,1,SAN NICOLÁS DE LOS GARZA,CONCUBINO,1
239,28,CASADO,PREPARATORIA,N,1,CADEREYTA JIMÉNEZ,NINGUNO,1
240,37,CASADO,SECUNDARIA,M,1,CADEREYTA JIMÉNEZ,ESPOSO,1
241,41,CASADO,SECUNDARIA,M,1,CADEREYTA JIMÉNEZ,NINGUNO,1
242,48,CASADO,SECUNDARIA,N,1,EL CARMEN,ESPOSO,1
243,49,CASADO,TÉCNICO,T,1,ESCOBEDO,NINGUNO,1
244,33,CASADO,SECUNDARIA,T,1,ESCOBEDO,NINGUNO,1
245,16,CASADO,PRIMARIA,T,1,ESCOBEDO,CONCUBINO,1
246,54,CASADO,TÉCNICO,M,1,ESCOBEDO,HIJO,1
247,50,CASADO,PRIMARIA,N,1,ESCOBEDO,ESPOSO,1
248,40,CASADO,LICENCIATURA,M,1,ESCOBEDO,ESPOSO,1
249,34,SOLTERO,TÉCNICO,T,1,ESCOBEDO,EXESPOSO,1
250,46,CASADO,PREPARATORIA,T,1,ESCOBEDO,NINGUNO,1
251,26,CASADO,SECUNDARIA,M,1,ESCOBEDO,NINGUNO,1
252,13,SOLTERO,SECUNDARIA,T,1,ESCOBEDO,PADRE,1
253,43,CASADO,TÉCNICO,N,1,ESCOBEDO,ESPOSO,1
254,38,CASADO,SECUNDARIA,T,1,ESCOBEDO,ESPOSO,1
255,54,CASADO,LICENCIATURA,T,1,ESCOBEDO,CONCUBINO,1
256,42,CASADO,SECUNDARIA,T,1,ESCOBEDO,ESPOSO,1
257,32,CASADO,TÉCNICO,N,1,ESCOBEDO,ESPOSO,1
258,63,CASADO,PRIMARIA,N,1,GARCÍA,HIJO,1
259,28,CASADO,PRIMARIA,M,1,GARCÍA,ESPOSO,1
260,48,CASADO,SECUNDARIA,T,1,GARCÍA,ESPOSO,1
261,24,CASADO,SECUNDARIA,N,1,GARCÍA,CONCUBINO,1
262,32,CASADO,TÉCNICO,T,1,GARCÍA,NINGUNO,1
263,40,SOLTERO,LICENCIATURA,M,1,GARCÍA,NINGUNO,1
264,43,CASADO,PREPARATORIA,N,1,GARCÍA,ESPOSO,1
265,31,CASADO,SECUNDARIA,M,1,GARCÍA,ESPOSO,1
266,29,CASADO,PREPARATORIA,T,1,GARCÍA,ESPOSO,1
267,31,CASADO,PREPARATORIA,N,1,GARCÍA,CONCUBINO,1
268,29,CASADO,SECUNDARIA,T,1,GARCÍA,ESPOSO,1
269,34,CASADO,SECUNDARIA,M,1,GARCÍA,CONCUBINO,1
270,27,CASADO,LICENCIATURA,T,1,GUADALUPE,ESPOSO,1
271,78,SOLTERO,PRIMARIA,M,1,GUADALUPE,NINGUNO,1
272,37,CASADO,SECUNDARIA,N,1,GUADALUPE,ESPOSO,1
273,47,CASADO,SECUNDARIA,N,1,GUADALUPE,NINGUNO,1
274,26,CASADO,SECUNDARIA,N,1,GUADALUPE,NINGUNO,1
275,26,SOLTERO,PREPARATORIA,M,1,GUADALUPE,NINGUNO,1
276,39,CASADO,SECUNDARIA,N,1,JUÁREZ,CONCUBINO,1
277,41,SOLTERO,SECUNDARIA,N,1,JUÁREZ,CONCUBINO,1
278,42,CASADO,SECUNDARIA,M,1,JUÁREZ,ESPOSO,1
279,13,SOLTERO,PRIMARIA,T,1,JUÁREZ,PADRE,1
280,33,CASADO,PREPARATORIA,T,1,JUÁREZ,NINGUNO,1
281,23,CASADO,SECUNDARIA,T,1,JUÁREZ,PADRE,1
282,18,CASADO,PRIMARIA,T,1,JUÁREZ,CONCUBINO,1
283,23,CASADO,PREPARATORIA,N,1,JUÁREZ,NINGUNO,1
284,43,SOLTERO,SECUNDARIA,N,1,JUÁREZ,CONCUBINO,1
285,30,CASADO,SECUNDARIA,T,1,JUÁREZ,NINGUNO,1
286,29,CASADO,SECUNDARIA,M,1,MONTERREY,ESPOSO,1
287,40,SOLTERO,POSGRADO,T,1,MONTERREY,NINGUNO,1
288,38,CASADO,PRIMARIA,T,1,MONTERREY,CONCUBINO,1
289,27,CASADO,PREPARATORIA,T,1,SALINAS VICTORIA,NINGUNO,1
290,38,CASADO,SECUNDARIA,M,1,SAN PEDRO GARZA GARCÍA,NINGUNO,1
291,34,CASADO,LICENCIATURA,N,1,SANTA CATARINA,NINGUNO,1
292,34,CASADO,PRIMARIA,T,1,SANTA CATARINA,NINGUNO,1
293,8,SOLTERO,PRIMARIA,T,1,ESCOBEDO,HIJO,1
294,12,SOLTERO,PRIMARIA,T,1,ESCOBEDO,HIJO,1
295,8,SOLTERO,PRIMARIA,N,1,GUADALUPE,NINGUNO,1
296,15,SOLTERO,SECUNDARIA,N,1,GUADALUPE,NINGUNO,1
297,24,SOLTERO,PREPARATORIA,T,1,JUÁREZ,PADRE,1
298,45,CASADO,PRIMARIA,T,1,JUÁREZ,CONCUBINO,1
299,13,SOLTERO,PRIMARIA,T,1,LINARES,NINGUNO,1
