edad_a,edad_v,escolaridad,hora,mes,mpio,parentesco,sexo_a,sexo_v
48,57,SECUNDARIA,2,1,GUADALUPE,NINGUNO,0,1
40,78,PRIMARIA,1,1,GUADALUPE,PADRE,0,0
28,26,SECUNDARIA,2,1,GUADALUPE,NINGUNO,0,1
44,39,SECUNDARIA,0,1,GUADALUPE,NINGUNO,0,1
43,60,SECUNDARIA,0,1,SAN PEDRO GARZA GARCÍA,MADRE,0,1
29,24,SECUNDARIA,0,1,GUADALUPE,NINGUNO,0,0
48,45,SECUNDARIA,2,1,GUADALUPE,NINGUNO,0,1
41,38,TÉCNICO,2,1,CADEREYTA JIMÉNEZ,ESPOSO,0,1
34,33,SECUNDARIA,2,1,CADEREYTA JIMÉNEZ,ESPOSO,0,1
23,18,PRIMARIA,2,1,ESCOBEDO,CONCUBINO,0,1
31,30,NINGUNO,2,1,ESCOBEDO,CONCUBINO,0,1
43,32,SECUNDARIA,2,1,ESCOBEDO,NINGUNO,0,1
47,35,TÉCNICO,2,1,ESCOBEDO,NINGUNO,1,1
34,29,PREPARATORIA,0,1,GUADALUPE,NINGUNO,0,1
23,25,PREPARATORIA,2,1,GUADALUPE,NINGUNO,0,1
54,50,SECUNDARIA,1,1,HIGUERAS,NINGUNO,0,1
38,34,SECUNDARIA,2,1,JUÁREZ,NINGUNO,0,1
43,32,SECUNDARIA,2,1,JUÁREZ,EXESPOSO,0,1
36,36,SECUNDARIA,1,1,JUÁREZ,NINGUNO,0,0
45,36,PREPARATORIA,2,1,JUÁREZ,ESPOSO,0,1
27,27,SECUNDARIA,2,1,JUÁREZ,ESPOSO,0,1
40,36,PRIMARIA,2,1,JUÁREZ,ESPOSO,0,0
38,35,SECUNDARIA,0,1,JUÁREZ,ESPOSO,0,1
38,31,LICENCIATURA,2,1,MONTERREY,ESPOSO,0,1
24,23,TÉCNICO,2,1,MONTERREY,ESPOSO,0,1
22,21,PREPARATORIA,2,1,MONTERREY,ESPOSO,0,1
32,26,PRIMARIA,2,1,MONTERREY,NINGUNO,0,1
34,34,PREPARATORIA,2,1,MONTERREY,NINGUNO,0,1
25,24,PRIMARIA,2,1,MONTERREY,UL,0,1
32,38,PREPARATORIA,2,1,MONTERREY,ESPOSO,0,1
39,38,SECUNDARIA,1,1,MONTERREY,ESPOSO,0,1
39,16,SECUNDARIA,2,1,MONTERREY,MADRE,0,1
19,19,SECUNDARIA,2,1,MONTERREY,NINGUNO,0,1
23,26,PREPARATORIA,2,1,PESQUERÍA,NINGUNO,1,0
42,35,SECUNDARIA,2,1,SALINAS VICTORIA,NINGUNO,0,1
37,15,SECUNDARIA,1,1,SAN PEDRO GARZA GARCÍA,HIJO,1,0
19,27,SECUNDARIA,2,1,ALLENDE,ESPOSO,0,1
28,24,PRIMARIA,1,1,ALLENDE,ESPOSO,0,1
43,35,PREPARATORIA,0,1,APODACA,ESPOSO,0,1
60,54,PRIMARIA,2,1,APODACA,ESPOSO,0,1
38,39,PREPARATORIA,2,1,APODACA,ESPOSO,0,1
25,48,SECUNDARIA,2,1,APODACA,MADRE,0,1
24,25,LICENCIATURA,0,1,APODACA,ESPOSO,0,1
46,44,SECUNDARIA,1,1,APODACA,ESPOSO,0,1
43,49,SECUNDARIA,1,1,APODACA,CONCUBINO,0,1
53,39,TÉCNICO,2,1,APODACA,HIJO,1,1
23,33,PREPARATORIA,2,1,APODACA,CONCUBINO,0,0
44,36,LICENCIATURA,1,1,APODACA,ESPOSO,0,1
36,44,POSGRADO,1,1,APODACA,ESPOSO,1,0
27,25,SECUNDARIA,0,1,APODACA,CONCUBINO,0,1
39,36,PREPARATORIA,2,1,APODACA,ESPOSO,1,1
37,42,LICENCIATURA,0,1,APODACA,NINGUNO,0,1
33,32,TÉCNICO,2,1,APODACA,ESPOSO,0,1
42,39,PREPARATORIA,2,1,CHINA,ESPOSO,1,0
31,31,SECUNDARIA,1,1,CIÉNEGA DE FLORES,CONCUBINO,0,1
31,31,SECUNDARIA,0,1,CIÉNEGA DE FLORES,NINGUNO,0,1
43,37,PRIMARIA,0,1,CIÉNEGA DE FLORES,ESPOSO,0,1
38,31,SECUNDARIA,1,1,DOCTOR ARROYO,NINGUNO,0,0
40,39,SECUNDARIA,2,1,DOCTOR ARROYO,NINGUNO,0,1
38,78,NINGUNO,1,1,DOCTOR ARROYO,NINGUNO,0,1
36,39,LICENCIATURA,2,1,DOCTOR ARROYO,ESPOSO,0,1
44,36,SECUNDARIA,0,1,DOCTOR ARROYO,NINGUNO,0,1
48,33,PRIMARIA,2,1,ESCOBEDO,CONCUBINO,0,1
39,16,SECUNDARIA,1,1,ESCOBEDO,PADRE,0,1
33,36,SECUNDARIA,1,1,ESCOBEDO,ESPOSO,0,1
23,30,SECUNDARIA,0,1,ESCOBEDO,EXESPOSO,1,0
22,27,SECUNDARIA,1,1,GARCÍA,ESPOSO,0,1
42,38,PRIMARIA,2,1,GARCÍA,CONCUBINO,0,1
29,29,PREPARATORIA,2,1,GARCÍA,ESPOSO,0,1
39,37,SECUNDARIA,2,1,GARCÍA,ESPOSO,0,1
25,27,PREPARATORIA,1,1,GARCÍA,ESPOSO,0,1
36,32,SECUNDARIA,1,1,GARCÍA,ESPOSO,0,1
